id,sku,name,price,short_url,original_price,discount,discount_rate,review_count,rating_average
181699664,1848182468777,Những Ngã Tư Và Những Cột Đèn,130000,https://tiki.vn/product-p181699664.html?spid=181699665,200000,70000,35,137,4.8
179546672,6087229068798,Làm Sao Học Hết Được Nhân Sinh,109850,https://tiki.vn/product-p179546672.html?spid=179546673,169000,59150,35,175,5.0
173882437,1288959099343,8 Vụ Án Hoàn Hảo - Vạch Trần Tâm Lý Kẻ Phạm Tội,94250,https://tiki.vn/product-p173882437.html?spid=173882439,145000,50750,35,524,4.8
173763072,1327286909565,Tâm Lý Học Hẹn Hò - Nghệ Thuật Giao Tiếp Trong Tình Yêu,76200,https://tiki.vn/product-p173763072.html?spid=173763073,109000,32800,30,224,4.8
167972598,4653878269443,Tôi Thích Bản Thân Nỗ Lực Hơn (Ấn Bản Kỷ Niệm),83900,https://tiki.vn/product-p167972598.html?spid=167972599,120000,36100,30,333,4.8
140416370,7822684494840,Dòng Chảy,149400,https://tiki.vn/product-p140416370.html?spid=140416372,228000,78600,34,710,5.0
139303869,6866671666215,Nghệ Thuật Tinh Tế Của Việc Đếch Quan Tâm (Tái Bản),82000,https://tiki.vn/product-p139303869.html?spid=139303870,128000,46000,36,547,5.0
127844385,7165539015477,Kiêu Hãnh Và Định Kiến (Tái Bản),75400,https://tiki.vn/product-p127844385.html?spid=127844386,116000,40600,35,554,4.8
120219394,1493348887961,Tôi Nói Gì Khi Nói Về Chạy Bộ,49400,https://tiki.vn/product-p120219394.html?spid=120219395,76000,26600,35,564,5.0
108684605,2109570254767,Trí Thông Minh Của Sự Tinh Tế,53400,https://tiki.vn/product-p108684605.html?spid=108684606,89000,35600,40,503,4.8
107802183,9759871079058,Sách Sức Mạnh Tiềm Thức (Tái Bản) (Bìa Mềm),83800,https://tiki.vn/product-p107802183.html?spid=107802184,128000,44200,35,930,5.0
103379147,7576087902248,Bạch Dạ Hành (Tái Bản),135850,https://tiki.vn/product-p103379147.html?spid=103379149,209000,73150,35,1157,4.8
85396163,6687454450555,Combo 2 Cuốn: Yêu Những Điều Không Hoàn Hảo + Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),145600,https://tiki.vn/product-p85396163.html?spid=85396164,224000,78400,35,934,5.0
76013378,2491493924269,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),197780,https://tiki.vn/product-p76013378.html?spid=76013379,319000,121220,38,1908,5.0
